5 worlds have been produced.

1. World
2015.Neoaves disjoint 2014.Neognathae
2015.Gall_Neoa_Clade disjoint 2014.Neognathae
2015.Palaeognathae disjoint 2014.Struthioniformes
2015.Palaeognathae disjoint 2014.Tinamiformes
2015.Palaeognathae disjoint 2014.Paleognathae
2015.Neoaves disjoint 2014.Struthioniformes
2015.Galloanserae disjoint 2014.Neognathae
2015.Galloanserae disjoint 2014.Tinamiformes
2015.Aves overlaps 2014.Neognathae
2015.Gall_Neoa_Clade includes 2014.Struthioniformes
2015.Gall_Neoa_Clade includes 2014.Tinamiformes
2015.Aves includes 2014.Paleognathae
2015.Aves includes 2014.Tinamiformes
2015.Aves includes 2014.Struthioniformes
2015.Gall_Neoa_Clade is_included_in 2014.Aves
2015.Palaeognathae is_included_in 2014.Neognathae
2015.Aves is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Paleognathae
2015.Galloanserae is_included_in 2014.Aves
2015.Galloanserae is_included_in 2014.Paleognathae
2015.Palaeognathae is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Aves
2015.Gall_Neoa_Clade equals 2014.Paleognathae
2015.Neoaves equals 2014.Tinamiformes
2015.Galloanserae equals 2014.Struthioniformes

2. World
2015.Neoaves disjoint 2014.Neognathae
2015.Gall_Neoa_Clade disjoint 2014.Neognathae
2015.Palaeognathae disjoint 2014.Struthioniformes
2015.Palaeognathae disjoint 2014.Tinamiformes
2015.Palaeognathae disjoint 2014.Paleognathae
2015.Neoaves disjoint 2014.Struthioniformes
2015.Galloanserae disjoint 2014.Neognathae
2015.Galloanserae disjoint 2014.Tinamiformes
2015.Gall_Neoa_Clade includes 2014.Struthioniformes
2015.Gall_Neoa_Clade includes 2014.Tinamiformes
2015.Aves includes 2014.Paleognathae
2015.Aves includes 2014.Neognathae
2015.Aves includes 2014.Tinamiformes
2015.Aves includes 2014.Struthioniformes
2015.Gall_Neoa_Clade is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Paleognathae
2015.Galloanserae is_included_in 2014.Aves
2015.Galloanserae is_included_in 2014.Paleognathae
2015.Palaeognathae is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Aves
2015.Gall_Neoa_Clade equals 2014.Paleognathae
2015.Palaeognathae equals 2014.Neognathae
2015.Aves equals 2014.Aves
2015.Neoaves equals 2014.Tinamiformes
2015.Galloanserae equals 2014.Struthioniformes

3. World
2015.Neoaves disjoint 2014.Neognathae
2015.Gall_Neoa_Clade disjoint 2014.Neognathae
2015.Palaeognathae disjoint 2014.Struthioniformes
2015.Palaeognathae disjoint 2014.Tinamiformes
2015.Palaeognathae disjoint 2014.Paleognathae
2015.Neoaves disjoint 2014.Struthioniformes
2015.Galloanserae disjoint 2014.Neognathae
2015.Galloanserae disjoint 2014.Tinamiformes
2015.Palaeognathae overlaps 2014.Neognathae
2015.Aves overlaps 2014.Neognathae
2015.Aves overlaps 2014.Aves
2015.Palaeognathae overlaps 2014.Aves
2015.Gall_Neoa_Clade includes 2014.Struthioniformes
2015.Gall_Neoa_Clade includes 2014.Tinamiformes
2015.Aves includes 2014.Paleognathae
2015.Aves includes 2014.Tinamiformes
2015.Aves includes 2014.Struthioniformes
2015.Gall_Neoa_Clade is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Paleognathae
2015.Galloanserae is_included_in 2014.Aves
2015.Galloanserae is_included_in 2014.Paleognathae
2015.Neoaves is_included_in 2014.Aves
2015.Gall_Neoa_Clade equals 2014.Paleognathae
2015.Neoaves equals 2014.Tinamiformes
2015.Galloanserae equals 2014.Struthioniformes

4. World
2015.Neoaves disjoint 2014.Neognathae
2015.Gall_Neoa_Clade disjoint 2014.Neognathae
2015.Palaeognathae disjoint 2014.Struthioniformes
2015.Palaeognathae disjoint 2014.Tinamiformes
2015.Palaeognathae disjoint 2014.Paleognathae
2015.Neoaves disjoint 2014.Struthioniformes
2015.Galloanserae disjoint 2014.Neognathae
2015.Galloanserae disjoint 2014.Tinamiformes
2015.Palaeognathae overlaps 2014.Aves
2015.Gall_Neoa_Clade includes 2014.Struthioniformes
2015.Gall_Neoa_Clade includes 2014.Tinamiformes
2015.Palaeognathae includes 2014.Neognathae
2015.Aves includes 2014.Paleognathae
2015.Aves includes 2014.Neognathae
2015.Aves includes 2014.Aves
2015.Aves includes 2014.Tinamiformes
2015.Aves includes 2014.Struthioniformes
2015.Gall_Neoa_Clade is_included_in 2014.Aves
2015.Neoaves is_included_in 2014.Paleognathae
2015.Galloanserae is_included_in 2014.Aves
2015.Galloanserae is_included_in 2014.Paleognathae
2015.Neoaves is_included_in 2014.Aves
2015.Gall_Neoa_Clade equals 2014.Paleognathae
